text,care,fairness,non-moral,subversion,authority,loyalty,purity,betrayal,degradation,harm,cheating
Let’s stop all this #BlackLivesMatter vs #AllLivesMatter crap. Most people suck. Most people’s lives don’t matter at all. #FewLivesMatter,0,0,1,0,0,0,0,0,0,0,1
.@Njeanous #AllLivesMatter is an insult to the #BlakLivesMatter movement.  Hillary insulted the movement.  https://t.co/MLwRzYUhK0,0,0,1,0,0,0,0,0,0,1,1
Now cops will realize what it's like to be stereotyped. #BlackLivesMatter #AllLivesMatter,0,0,1,0,0,0,0,0,0,0,0
Let see how long WE CAN GO WITHOUT CRIME! Next 24 hours? #NewOrleans #AllLivesMatter #WakeUp https://t.co/5RHJ0D0rAw,0,0,1,0,0,0,0,0,0,1,0
@HuffingtonPost it doesn't have to! Let's help by listening and showing empathy towards others! #helpandy #AllLivesMatter,1,0,1,0,0,1,0,0,0,0,0
@O2supply same ole rant...but this here time in society is sickening.  OBEY THE LAW !  #blueliveslatter #alllivesmatter,0,0,1,0,1,0,0,0,1,0,0
This compassion for some and not others makes me sick! It's hypocrisy #selectiveoutrage #alllivesmatter #blacklivesmatter  #AltonSterling,1,0,0,0,0,0,0,0,0,0,1
"@BYP_100 @fergusonaction  I luv the black power fist,lol ! Not racist at all? U R all COWARDS and hypocrites #AllLivesMatter",0,1,1,0,0,0,0,0,0,0,1
"#OaklandCA in Solidarity with #Ferguson - #NoIndictment Day2
#AllLivesMatter #BlackLivesMatter #BrownLivesMatter http://t.co/GAMJ2ekUaV",0,0,1,0,0,1,0,0,0,0,0
"There are racist assholes, but there's #AllLivesMatter n 'more harm than good' for the cause ppl too. Ignorance comes in many forms.",1,1,0,0,0,0,0,0,1,1,1
"I just saw a billboard that said ""If Jesus had a Twitter... #AllLivesMatter"" and I threw up a little bit in my mouth.",0,0,1,0,0,0,0,0,0,0,0
@PissedOff99 @BibleMeetsLife @NamelessCynic ~❤ Respect &amp; protect innocent life👟 #AllLivesMatter #ProLife #DefundPP https://t.co/62uRDo4aPA,1,0,1,0,1,0,0,0,0,0,0
It costs nothing to be a decent human being! Do a random act of kindness 2day! #AllLivesMatter #LGBTRights #LoveWins http://t.co/k6fa5faRn9,1,0,1,0,0,1,0,0,0,0,0
Addicting Info - Compassion meets hate. Compassion wins. https://t.co/Anp62FbEes #AllLivesMatter #StayHuman http://t.co/pPDF4pROnH,1,0,1,0,0,0,0,0,0,0,0
@ladygaga #ALLLIVESMATTER ...Black lives...white lives..yellow/blue lives..Life is sacred..Let's not lose this SENSE of the SACREDNESS =LIFE,0,0,1,0,0,0,1,0,0,0,0
Justice for Jamyla Bolden! #AllLivesMatter,0,1,1,0,0,0,0,0,0,0,0
"In 2015, can we walk the Earth with empathy in our hearts and prove that regardless of race, sexuality or gender identity #AllLivesMatter ?",1,0,1,0,0,1,0,0,0,0,0
"Another day, another tragic slap in the face to a family who lose a loved one. Pray for these families. #BlackLivesMatter #AllLivesMatter",1,0,1,0,0,0,0,0,0,1,0
".@GovMikeHuckabee Claiming #AllLivesMatter is ignoring the issue of institutional racial discrimination 

#BlackLivesMatter",0,0,0,0,0,0,0,0,0,1,1
Supreme Court: Police Can Make Up Laws And Violate Rights #thinblueline #crimingwhileblue #alllivesmatter http://t.co/yCj5rUppd5,0,0,1,0,0,0,0,0,0,0,1
@ShaunKing @RiverfrontTimes Imagine using #AllLivesMatter to justify deviant criminal racist behavior! Déjà vu! Mainstream media get a cue!,0,0,1,0,0,0,0,0,0,1,1
"Life
Love
Pride
Liberty
Freedom
Happiness 

#OpLGBT #Anonymous #AnonFam 
#AllLivesMatter https://t.co/IaQdIQBETa",1,1,1,0,0,0,0,0,0,0,0
A moment of silence for #MikeBrown. Solidarity from #NYC to #Ferguson http://t.co/zgS0Lc8KfC #BlackLivesMatter #AllLivesMatter,1,0,0,0,0,1,0,0,0,0,0
@cnnbrk this is getting to be ridiculous. Either police are that dumb OR ppl are now.doing this on purpose to become famous.#AllLivesMatter,0,0,1,0,0,0,0,0,0,0,0
"Shameful how #Democrats pander to cop killers! #BlackLivesMatter #DemDebate 

#ThinBlueLine #BlueLivesMatter",0,0,1,0,0,1,0,0,0,1,0
#ALLLIVESMATTER is the MORAL INDIGNATION of spoiled SPANKIES challenging #BLACKLIVESMATTER superseding #WHITELIVESMATTER without saying SO‼️,0,0,1,0,0,0,0,0,1,0,0
#NYPD Officers who listen &amp; follow orders of #PatrickLynch &amp; #NYPDPoliceUnion receive NO respect from me. #AllLivesMatter @suspensewriter7,0,0,1,1,1,0,0,0,0,0,0
Education starts at home. I strongly believe we must teach love and respect to our children. #Charleston #AllLivesMatter,1,0,1,0,1,0,0,0,0,0,0
@people If your life matters... RESPECT THE LAW DON'T ACT A FOOL and STAY COOL! #DontActAFoolStayCool #AllLivesMatter #retweet,0,0,1,0,1,0,0,0,0,0,0
#cubans r human beings too #AllLivesMatter #TodosMarchamos to stop the programmed violence against regular #Cubans https://t.co/IGIIYGthWT,1,1,1,0,0,0,0,0,0,0,0
"Cowardly acts of violence just break our society more. Work towards peace, acceptance, compassion and understanding instead. #AllLivesMatter",1,0,0,0,0,1,0,0,0,1,0
http://t.co/oAhrXIX9rd #AllLivesMatter the beauty and depth of a human life; listen to storycorps interview; weep for a beautiful life lost,1,0,1,0,0,0,0,0,0,0,0
"#BlackLivesMatter #AllLivesMatter
Nypd arrest black lives matter protesters rallying in solidarity with...
https://t.co/0jcukMO2yM",0,0,1,0,0,1,0,0,0,0,0
when I'm president we will ENFORCE THE GENEVA ACCORDS #AllLivesMatter #MakeAmericaGreatAgain and BAN TORTURE CONSTITUTIONALLY,1,0,1,0,1,0,0,0,0,1,0
"#BlackLivesMatter
&amp;
#BlueLivesMatter
because 
#AllLivesMatter 
Disproportionate systemic injustices hurt us all.
https://t.co/3UuaPNW8xS",0,0,1,0,0,0,0,0,0,1,1
"#BlackLivesMatter
&amp;
#BlueLivesMatter
because 
#AllLivesMatter 
Disproportionate systemic injustices hurt us all.
https://t.co/3UuaPNW8xS",0,0,1,0,0,0,0,0,0,1,1
"#BlackLivesMatter
&amp;
#BlueLivesMatter
because 
#AllLivesMatter 
Disproportionate systemic injustices hurt us all.
https://t.co/3UuaPNW8xS",0,0,1,0,0,0,0,0,0,1,1
"#BlackLivesMatter
&amp;
#BlueLivesMatter
because 
#AllLivesMatter 
Disproportionate systemic injustices hurt us all.
https://t.co/3UuaPNW8xS",0,0,1,0,0,0,0,0,0,1,1
"To those of you who support injustice and those who support the supporters of injustice I SAY ""SCREW YOU"" #BlackLivesMatter #AllLivesMatter",0,0,1,0,0,1,0,0,0,0,1
"Obey.

#BlackLivesMatter #4thPrecinctShutDown #JamarClark #WhiteLivesMatter #BlueLivesMatter #WhiteGenocide #tcot https://t.co/y1MlG74LTr",0,0,1,0,1,0,0,0,0,0,0
"Obey.

#BlackLivesMatter #4thPrecinctShutDown #JamarClark #WhiteLivesMatter #BlueLivesMatter #WhiteGenocide #tcot https://t.co/y1MlG74LTr",0,0,1,0,1,1,0,0,0,0,0
"Obey.

#BlackLivesMatter #4thPrecinctShutDown #JamarClark #WhiteLivesMatter #BlueLivesMatter #WhiteGenocide #tcot https://t.co/y1MlG74LTr",0,0,1,0,1,0,0,0,0,0,0
"Obey.

#BlackLivesMatter #4thPrecinctShutDown #JamarClark #WhiteLivesMatter #BlueLivesMatter #WhiteGenocide #tcot https://t.co/y1MlG74LTr",0,0,1,0,1,1,0,0,0,0,0
"Compassion is LOVE entering in2 another person's struggle. U dont have to always AGREE 2 have EMPATHY 2 see how ""they"" see! #AllLIVESMatter",1,1,0,0,0,1,0,0,0,0,0
Justice is the goal. #blacklivesmater #alllivesmatter http://t.co/mwnsTOafU2,0,1,1,0,0,0,0,0,0,0,0
"I fucking hate people honestly like. RESPECT ALL FUCKING PEOPLE. #AllLivesMatter . Respect TURKEY, Respect France, Respect everyone.",0,0,1,0,1,1,0,0,0,0,0
@TheSportPics @StephenCurry30 RESPECT #AllLivesMatter,0,0,1,0,1,0,0,0,0,0,0
Disregard &amp; Disrespect  for human lives #AllLivesMatter  has become the Order in this Day of Revelation. Smh!!!!!,0,0,1,1,0,0,0,0,1,0,0
"@parkerlewisftw @OccuWorld Murderers. Racist murderers who believe in violent disruptions, burning, lootings and murder. #AllLivesMatter",0,0,1,0,0,0,0,0,0,1,1
don't get it &amp; still feel the need to miss the point and say #AllLivesMatter then you are nothing more than a coon and you are cancelled.,0,0,1,0,0,0,0,1,0,0,0
@kjoerwin @sumohan7 @SpicyDemocrat @CapehartJ hypocrite much?? #alllivesmatter,0,0,1,0,0,0,0,0,0,0,1
@jenakastar But that's not what you said by using #AllLivesMatter. @MDRSWRJ,0,0,1,0,0,0,0,0,0,0,1
using #LGBTLivesMatter instead of #TransLivesMatter for honoring leelah is like when white ppl used #AllLivesMatter over #BlackLivesMatter,0,0,1,0,0,0,0,0,0,0,0
#WalterScott a Veteran murdered by racist scumbag with a badge. #BlackLivesMatter #BlueLivesMatter #PoliceLivesMatter http://t.co/UKdeqqy1oY,0,0,1,1,0,0,0,0,0,1,1
But #ZacharyHammond tragedy is a example that #AllLivesMatter movement aint here for nobody just to antagonize and trivialize black outrages,0,0,1,0,0,0,0,0,0,1,1
@tedcruz criticizes decent law abiding @realDonaldTrump supporters for violence but condones violence by #BLM thugs! https://t.co/6HTVuXYKhD,0,0,1,0,1,0,0,0,0,1,1
"#HeterosexualPrideDay is the equivalent to white people asking for white history month &amp; #AllLivesMatter 
Y'all just missed the whole point",0,0,1,0,0,0,0,0,0,1,1
@elnathan the police must respect the human rites of everyone #AllLivesMatter,0,0,1,0,1,0,0,0,0,0,0
@larryelder JUSTICE IS COLORBLIND....  #AllLivesMatter,0,1,1,0,0,0,0,0,0,0,0
"@POTUS let's do it by ending ALL racism, not just inciting violence against white people. #alllivesmatter",0,1,1,0,0,0,0,0,0,1,0
Slowly losing faith in humanity #MillionsMarchNYC  #ALLLIVESMATTER,0,0,1,0,0,0,0,0,1,1,0
"Oh by the way , though it's a new year?? #BlackLivesMatter #AllLivesMatter #EndSecretGrandJuries #NYPDLivesMatter #EricGarner 😼",0,0,1,0,0,0,0,0,0,0,0
Everybody tweeting about Bmore talking  bout #BlackLivesMatter #AllLivesMatter was tall bitches saying that at the abortion clinic 🐸☕️,1,1,1,0,0,1,0,0,0,0,0
"Love transcends age, gender, race, religion #AllLivesMatter #InGodsHands",1,1,0,0,0,1,0,0,0,0,0
Humans need to have compassion for LIFE. #blacklivesmatter #animallivesmatter #AllLivesMatter,1,1,0,0,0,1,0,0,0,0,0
Humans need to have compassion for LIFE. #blacklivesmatter #animallivesmatter #AllLivesMatter,1,1,0,0,0,0,0,0,0,0,0
Humans need to have compassion for LIFE. #blacklivesmatter #animallivesmatter #AllLivesMatter,1,1,0,0,0,1,0,0,0,0,0
Humans need to have compassion for LIFE. #blacklivesmatter #animallivesmatter #AllLivesMatter,1,1,0,0,0,0,0,0,0,0,0
To be able to stand up and fight for justice and equality #AllLivesMatter  #DrPepperGiveaway,0,1,1,0,0,0,0,0,0,0,0
A Cop Killed A White Teen And The #AllLivesMatter Crowd Said Nothing http://t.co/WBRofohOTI,0,0,1,0,0,0,0,0,0,1,1
#BlackLivesMatter #MillionsMarchNYC  Fight for your rights justice for all. The World it's watching. #AllLivesMatter,0,1,1,0,0,0,0,0,0,0,0
"#BLACKLIVESMATTER &amp; #ALLLIVESMATTER HAVE THE SAME MOTHER! #BLMM #FreddieGray SAVE ""Marilyn Mosby""
PRAY #DemsInPhilly https://t.co/qmnF0naLdV",0,0,1,0,0,0,0,0,0,1,1
neither do innocent people - people like #EricGarner - deserve to die either bc of their skin color. #BlackLivesMatter #AllLivesMatter,1,0,1,0,0,0,0,0,0,0,1
Justice for Charlotte!  @NYDailyNews  #JusticeForCharlotte #Rally #Protest #StatenIsland #allLivesMatter http://t.co/zu5BFuCRJh,0,1,1,0,0,0,0,0,0,0,1
Equal Justice for All! #AllLivesMatter,1,1,0,0,0,0,0,0,0,0,0
"Love all, do &amp; live right and obey the law!!! #AllLivesMatter ❤️🙌🏾🙏🏻🙌🏿🙏🏾🙌🏻",1,0,1,0,1,0,0,0,0,0,0
OBAMA JUST SAID #AllLivesMatter finely BLACK WHITE ASIAN MEXICAN! @fergtards wow what now!!! Lol! GO TROOPS THROWS IT OUR THERE I WON TWICE!,0,0,1,0,0,0,0,0,0,0,0
"#AllLivesMatter people, that's your legacy: Destruction. Vandalism.  Trivial, selfish trash vs a sacred act of commemoration &amp; resistance",0,0,1,0,0,0,1,0,0,1,0
When is a crime of hatred not a hate crime? #AllLivesMatter http://t.co/7eu1b02nFP,0,0,1,0,0,0,0,0,0,1,0
"#OaklandCA in Solidarity with #Ferguson - #NoIndictment Day2
#AllLivesMatter #BlackLivesMatter #BrownLivesMatter http://t.co/CdyzBwvuHF",0,0,0,0,0,1,0,0,0,0,0
‘#AllLivesMatter’ — Words Of Moral Cowardice  http://t.co/HFyWZZxkD4,0,0,1,0,0,0,0,0,1,0,0
#AllLivesMatter #BlueLivesMatter If you see something say something https://t.co/ebA5MuQqDp @LindaSuhler @DLoesch #tcot #PJNET #danaradio,0,0,1,0,0,0,0,0,0,0,0
"#BlackLivesMatter #whitelivesmatter
#alllivesmatter My hope is equality and peace! https://t.co/N0H17EwCDQ",1,1,0,0,0,0,0,0,0,0,0
Black Lives Matter= Communist Coward Gay Anarchist Deceivers. #AllLivesMatter (VIDEO) http://t.co/ZDJvTXcDLE http://t.co/PrKXZQGCzr,0,0,1,1,0,0,0,0,0,0,1
@InsurgentLove Yes! Understand true peace and respect! #BlackLivesMatter and we need equality and love for everyone! Cause #AllLivesMatter !,1,1,1,0,1,1,0,0,0,0,0
"Cops are not to blame, &amp; neither are the protesters  #alllivesmatter #blacklivesmatter nypdlivesmatter #stolenlives http://t.co/QPg7eG332g",0,0,1,0,0,0,0,0,0,0,0
We must stand united against hate and injustice #chapelhillshootings #muslimlivesmatter #alllivesmatter http://t.co/DHSfvZsQQ8,1,1,1,0,0,1,0,0,0,0,1
Please save me from the #whataboutmen and the #alllivesmatter brigades.,1,0,1,0,0,0,0,0,0,0,0
@OHANDTHENISAID Why not uplift #AllLivesMatter instead of the self appointed victims of false injustices #BlackLivesMatter ? Inquiring minds,0,0,1,0,0,0,0,0,0,0,1
Yes...and police should be taught to respect black kids. #BlackLivesMatter #AllLivesMatter #BlueLivesMatter 🌈 https://t.co/uZbG55P6DN,0,0,1,0,1,1,0,0,0,0,0
Our @ncnaacp @WJB8 believes #AllLivesMatter wors to forge Peace long overdue! Proud to be part #ThirdReconstruction https://t.co/MIizkU1O4k,1,1,1,0,0,0,0,0,0,0,0
@moderncomments Had one accuse me and Christ of being racist because He teaches #AllLivesMatter equally.,0,0,1,0,0,0,0,0,0,1,1
#AllLivesMatter  https://t.co/7Cw2fPTx7a,0,0,1,0,1,0,0,0,0,0,1
"With everything that's been going on, we need to stand together and stay strong. #PrayForDallas #PrayForPeace #alllivesmatter",0,0,1,0,0,1,0,0,0,0,0
Hurt people hurt. #allLivesMatter does not help by attacking #BlackLivesMatter,0,0,1,0,0,0,0,0,0,1,0
Hurt people hurt. #allLivesMatter does not help by attacking #BlackLivesMatter,0,0,1,0,0,0,0,0,0,1,0
Hurt people hurt. #allLivesMatter does not help by attacking #BlackLivesMatter,0,0,1,0,0,0,0,0,0,1,0
Hurt people hurt. #allLivesMatter does not help by attacking #BlackLivesMatter,0,0,1,0,0,0,0,0,0,1,0
Immoral behavior breeds immoral behavior #AllLivesMatter #NYPDLivesMatter #blacklivesmatter,0,0,1,0,0,0,0,0,1,0,0
Every human life has irreplaceable intrinsic value. https://t.co/46IVUaQDA5 #AllLivesMatter #VoteProlife #NYPrimary #PrimaryDay,0,0,1,0,0,0,1,0,0,0,0
"I wish I had the time and energy to debate with all y'all #AllLivesMatter people one by one, I really do.",0,0,1,0,0,0,0,0,0,0,0
"Obviously there are good and bad cops, but innocent people never deserve to die because of the wrongful actions of others. #AllLivesMatter",1,0,1,0,1,0,0,0,0,1,0
@CassandraRules This exposes fraud #AllLivesMatter people. It only exists to finger wag at black folks &amp; b institutional atrocity apologists,0,0,1,0,0,0,0,0,0,0,1
Example: Equality = #AllLivesMatter. Justice = #BlackLivesMatter.,0,1,1,0,0,0,0,0,0,0,0
@tweetforcetacea Hurt them where it hurts most-Don't buy #Japanese Most of its shit anyway ! #Animals #AnimalLove #AllLivesMatter #Cecil,0,0,1,0,0,0,0,0,0,1,0
Being pro police and #alllivesmatter does not make anyone anti black. We all bleed red. No one deserved to die. Stop wishing harm on others.,1,0,1,0,0,0,0,1,0,1,0
#LoveInAction #AllLivesMatter https://t.co/4WW8uCnri5,0,0,1,0,0,0,1,0,0,0,0
"If you didn't tweet about #AltonSterling or #PhilandoCastile, but youre tweeting about the officers killed &amp; #AllLivesMatter check yourself",0,0,1,0,0,0,0,0,0,0,0
Not News: Two White Cops Killed by Blacks #AllLivesMatter #tcot #p2 #crime #abuse #tlot  http://t.co/G61XPF69C0,0,0,1,0,0,0,0,0,0,1,0
@exposes_racism @deray @akacharleswade #AllLivesMatter is racist when exclaimed at Blacks fighting against systematic racist justice system,0,0,1,0,0,0,0,1,0,1,1
"#blacklivesmatter #alllivesmatter strive for equality, liberty and justice for A... (Vine by @HEARTHOLLYWOOD_) https://t.co/GfoyvUk8ss",0,1,1,0,0,0,0,0,0,0,0
"#BlackLivesMatter =screaming bully's.

#BlueLivesMatter = solemn honor.

God Bless

@GayPatriot",1,0,1,0,1,0,0,0,0,1,0
"#BlackLivesMatter =screaming bully's.

#BlueLivesMatter = solemn honor.

God Bless

@GayPatriot",1,0,1,0,1,0,0,0,0,0,0
"#BlackLivesMatter =screaming bully's.

#BlueLivesMatter = solemn honor.

God Bless

@GayPatriot",1,0,1,0,1,0,0,0,0,1,0
"#BlackLivesMatter =screaming bully's.

#BlueLivesMatter = solemn honor.

God Bless

@GayPatriot",1,0,1,0,1,0,0,0,0,0,0
"Let brotherly love continue.
Hebrews 13:1 

#AllLivesMatter",1,0,1,0,0,1,0,0,0,0,0
"@bassem_masri you talk about change and rights for minorities, the respect law enforcement and being a loud mouth jackass!  #AllLivesMatter",0,1,1,0,1,0,0,0,0,0,0
#BlackLivesMatter #AllLIvesMatter #SandraBland Ask Americans &amp; POLICE to take TESTt.  #SocialMedia  @UNrightswire  https://t.co/8UPq52s93a,0,0,1,0,1,0,0,0,0,0,0
I cannot tolerate radical extremist bullshit at the expense of innocent lives. #ChapelHillShooting #AllLivesMatter,0,0,1,0,0,0,0,0,0,1,0
"Our justice system continues to perpetuate discrimination against people of color, and that hurts all Americans. #AllLivesMatter",0,0,1,0,0,0,0,0,0,1,1
Solemn day. #AllLivesMatter http://t.co/ewJLjOkK4T,0,0,1,0,0,0,0,0,0,0,0
Law Enforcement Honor by @hassified  #svg #vector #freegoodies #BlueLivesMatter #AllLivesMatter https://t.co/IUiBFTKS8n,0,0,1,0,1,0,0,0,0,0,0
"Brilliant to see #Paris in solidarity with #Lahore
#AllLivesMatter
#LahoreBlast #Pakistan #EiffelTower https://t.co/FJJ4oO5KuK",0,0,1,0,0,1,0,0,0,0,0
"Respect Law Enforcement! #BackTheBlue
#BlueLivesMatter #AllLivesMatter https://t.co/jt4srDfMjt",1,1,0,0,1,0,0,0,0,0,0
".@printspixnremix 
Have a great weekend filled with 
#Kindness4Smiles 
Try #lessOnlineMoreACTION 
https://t.co/BAoS5wzfth

#AllLivesMatter",0,0,1,0,0,0,0,0,0,0,0
"@CoryBooker LASTLY, MissedU!
THIS AGAPE LOVE IS GODS LOVE
&amp; ITS CONTAGIOUS, I FOUND OUT!
IT VALUES ALL! #ALM &amp; #BLM
#AllGiftsMatter 2
#LoveU",1,0,1,0,0,0,0,0,0,0,0
"Equality is needed in all areas, including being in solidarity with ALL oppressed communities. #equality #solidarity #AllLivesMatter",0,1,1,0,0,1,0,0,0,0,1
INJUSTICE IN CANADA'S COURTS. #BlackLivesMatter #LSUC #stephenharper  http://t.co/E84a7GxmLn    #allLivesMatter http://t.co/FQ3lCCJncK,1,0,0,0,0,0,0,0,0,0,1
INJUSTICE IN CANADA'S COURTS. #BlackLivesMatter #LSUC #stephenharper  http://t.co/E84a7GxmLn    #allLivesMatter http://t.co/FQ3lCCJncK,0,1,0,0,0,0,0,0,0,1,1
INJUSTICE IN CANADA'S COURTS. #BlackLivesMatter #LSUC #stephenharper  http://t.co/E84a7GxmLn    #allLivesMatter http://t.co/FQ3lCCJncK,1,0,0,0,0,0,0,0,0,0,1
INJUSTICE IN CANADA'S COURTS. #BlackLivesMatter #LSUC #stephenharper  http://t.co/E84a7GxmLn    #allLivesMatter http://t.co/FQ3lCCJncK,0,1,0,0,0,0,0,0,0,1,1
#alllivesmatter Senseless killing to retaliate for senseless killing is counter productive. Poor judgement on both causes 2 much suffering.,0,0,1,0,0,0,0,0,0,1,0
#loveRules Stranger captures heartwarming act of kindness by restaurant... | http://t.co/4pkhxOVo2U #AllLivesMatter http://t.co/K6AkQkAW1D,1,0,1,0,0,0,0,0,0,0,0
"#alllivesmatter
Our Father, Who art in heaven
Hallowed be Thy Name;
Thy kingdom come,
Thy will… https://t.co/aJZJaYhLtR",0,0,1,0,0,0,0,0,0,0,0
#Bluelivesmatter Cops have families too and its not fair that they suffer too at the hands of BLM Racists..#AlllivesMatter,0,0,1,0,0,0,0,0,0,1,1
Sandra Bland deserved to live a vibrant happy life .I pray justice will prevail for angel Sandra Bland #AllLivesMatter Prayers to her family,1,1,0,0,0,0,0,0,0,1,0
"#StoPP #DefundPP #AllLivesMatter #ProLife @AlvedaCKing #OhHillNo 
#PPSellsBabyParts  https://t.co/TTAjm59XVf",0,0,1,0,0,1,1,0,1,0,0
LMPD here as well in support-Encouraging all faiths to pray for kindness in our community. #alllivesmatter http://t.co/JAOia6geV3,1,0,1,0,0,1,0,0,0,0,0
https://t.co/C7eJs0geKJ #Pittsburgh #BlackLivesMatter #AllLivesMatter #pittsburghshooting,1,0,1,0,0,0,0,0,0,0,0
"Mighty big elephant you got there, Darkies, #ALLLIVESMATTER, but especially the white and blue ones... No other lives to see here folks...",0,0,1,0,0,0,0,0,0,0,0
@GreyDeLisle An african american male walked passed me today at work.  His shirt said #Alllivesmatter,0,0,1,0,0,0,0,0,0,0,0
"All LE r on alert to protect their lives. Don't challenge, you will lose, with no sympathy. Obey US laws. #BlueLivesMatter #AllLivesMatter",0,0,1,0,1,0,0,0,0,1,0
@BaltimorePolice silence and integrity are not the same #YellowBetraysBlue #AllLivesMatter,0,1,1,0,0,0,1,0,0,0,0
CopWatch Cam We support Law enforcement officials Nationwide and we support Law abiding citizens of all nationalities.  #AllLivesMatter,0,0,1,0,1,1,0,0,0,0,0
"@MarkShapiro Please help Sea of Blue spread kindness #ItStartsWithUs  #AllLivesMatter #BeKind
https://t.co/ZHBFjPBmVD",1,0,1,0,0,0,0,0,0,0,0
@A_Dick3 see how quite it gets when I tweet shit like this #AllLivesMatter,0,0,1,0,0,0,0,0,0,0,0
"@rosemcgowan True ! Love &amp; Kindness first, always ! #livesmatter #alllivesmatter",1,0,1,0,0,0,0,0,0,0,0
You can't abolish racism and violence with racism and violence. #AllLivesMatter,0,0,0,0,0,0,0,0,0,1,1
This justice system is corrupt &amp; sick! #BlackLivesMattter #alllivesmatter ✊🏾 rip #altonsterling,0,0,1,0,0,0,0,0,1,0,1
@arthur_affect I find that racist people like to make a false fallacy of #alllivesmatter ignoring the reality for #POC #LGBT,0,0,1,0,0,0,0,0,0,1,1
@bengarvin white liberal guilt and black victimhood are amusing as well as shameful  #AllLivesMatter,0,0,1,0,0,0,0,0,1,0,0
"Lmao When have white lives not mattered? Because after this shooting, yall are posting plenty of #AllLivesMatter Am I just tardy? New here?",0,0,1,0,0,0,0,0,0,1,0
It's cruel and heartless to tear children away from their mothers https://t.co/jBTB11UbfH #vegan #vegansociety #compassion #alllivesmatter,1,0,0,0,0,0,0,0,0,1,0
#AllLivesMatter  Violence against any human being is atrocious. Racism hurts everyone involved.,1,0,0,0,0,0,0,0,0,1,1
"#AllLivesMatter is racism at worst, willful ignorance at best. #BlackLivesMatter https://t.co/69ip8FR45z",0,0,1,0,0,0,0,1,0,1,1
"IN BALTIMORE,
#BLACKLIVESMATTER VISIONARY ENDORSES
#NICKMOSBY FOR MAYOR
A SELFLESS LEADER WITH A PRAYING WIFE! ;)
@MarilynMosbyEsq
#ALM #BLM",1,0,1,0,0,1,0,0,0,0,0
#blacklivesDONTmatter if you disrespect the law - #ALLLIVESMATTER,0,0,1,1,0,0,0,0,0,0,0
"#BlackLivesMatter #AllLivesMatter
Solidarity from Palestine
Solidarity from Africa
#AmandlaKeffiyeh 
#OneWorld https://t.co/gn02HA2sIu",0,0,1,0,0,1,0,0,0,0,0
May GOD Bless those killed in the line of duty not all cops are bad or out to harm #AllLivesMatter #AllLivesMatter #AllLivesMatter,1,0,1,0,0,0,0,0,0,1,0
"#AllLivesMatter is utter disrespect for the movement, cause only ignorant people would pretend to read it as ONLY #BlackLivesMatter",0,0,0,1,0,0,0,1,0,1,0
@donnabrazile why should ANYBODY have time for promoting one race over another?  #AllLivesMatter,0,0,1,0,0,0,0,0,0,0,1
this world/society is constantly justifying acts of racism and brutality and it simply disgusts me. #alllivesmatter #piedmontparkhanging,0,0,1,0,0,0,0,0,1,1,1
@esquire he was being disorderly ...bunch of thugs yelling &amp; screaming hatred #alllivesmatter,0,0,1,1,0,0,0,0,0,1,0
Seriously sir.....dont make special....im just like you......Human    #AllLivesMatter  https://t.co/bqLqfZmyqE,0,1,1,0,0,0,0,0,1,1,0
"Justice isn't free, therefore justice isn't me. #alllivesmatter",0,1,1,0,0,0,0,0,0,0,0
"This is ignorance personified. The Lord will judge @AshleyEmilli ""I hope ppl start rioting and kill more cops.""#AllLivesMatter #NYPD",0,0,1,0,0,0,0,0,1,1,0
"@TheJK_Kid please help sea of blue Spread Kindness #ItStartsWithUs  #AllLivesMatter #BeKind
https://t.co/ZHBFjPBmVD",1,0,1,0,0,1,0,0,0,0,0
#AllLivesMatter  Justice for #SandraBland .,0,1,1,0,0,0,0,0,0,0,0
@Ags1151 @megynkelly megyn is a lying narcissist! the protesters are inciting the violence AND bullying trump supporters #alllivesmatter,0,0,1,0,0,0,0,0,0,1,1
@DavidHarris707 : Thank you for defending the sanctity of human life!#AllLivesMatter #TeamJesus #prolife,1,0,1,0,0,0,1,0,0,0,0
"@SenWarren  When you defy the law, thing such as this will happen #alllivesmatter when you obey the law",0,0,1,1,1,0,0,0,0,0,0
I'm more concerned with POLICE obeying the law than PROTESTORS obeying the law. Sheesh people.#AllLivesMatter,0,0,0,1,1,0,0,0,0,1,0
#AllLivesMatter Especially our brave military who fight &amp; sacrifice so we have the safety &amp; freedom to live in peace https://t.co/BhxZGm0grW,1,1,1,0,1,0,0,0,0,0,0
#AllLivesMatter #BlackLivesMatter cook that cop in #Ferguson,0,0,1,0,0,0,0,0,0,1,0
#KerrickTrial JUSTICE SERVED! #ALLLIVESMATTER,0,1,1,0,0,0,0,0,0,0,0
Hebrews 13:16-18 Simply says Obey the law. If we would teach obedience we would not see so many #AllLivesMatter. #TheBibleMatters,0,0,1,0,1,0,0,0,0,0,0
"Saw this and wanted to share... Kill a Lion, they blame the human, kill a human and they blame the Gun.  How true. #AllLivesMatter",0,0,1,0,0,0,0,0,0,1,0
@kingme610 counter acting on the lies and deceits who lead to racism and hatred #alllivesmatter Unite #blacklivesmatter is a racist narative,0,1,1,0,0,1,0,0,0,1,1
@osope Threatens Republican convention. No free speech. Patriot Guard Time? #AllLivesMatter https://t.co/7lucBkxTLE https://t.co/6Rg3aWAoHU,0,0,1,0,0,1,0,0,0,1,1
